,true,1,2,3,4,5,min3,min4,min5,accuracy_mean_over_folds,accuracy_std_over_folds,boot_acc_mean_over_folds,boot_mean_accs_of_folds,boot_quantile_lower_acc_of_folds,boot_quantile_upper_acc_of_folds,boot_accuracy_std_of_folds
a_mor_ba_CNN,100.0,79.75708502024291,79.30884904569115,78.80277617119722,79.20763447079237,79.41006362058994,80.01735106998265,76.69172932330827,71.15384615384616,79.29728166570273,0.345269822792918,79.29839611053467,"[79.75417971611023, 79.31472659111023, 78.80691289901733, 79.21613454818726, 79.40002679824829]","[78.68267059326172, 78.2820053100586, 77.79046630859375, 78.23104858398438, 78.40394592285156]","[80.75606536865234, 80.31531524658203, 79.75359344482422, 80.11601257324219, 80.37202453613281]","[0.5113517865538597, 0.5234982818365097, 0.5268993321806192, 0.49472576938569546, 0.49753040075302124]"
a_mor_bb_MTCNN,100.0,79.64141122035859,79.45344129554655,78.81723539618277,78.55696934644303,79.62695199537305,79.786003470214,76.7351069982649,72.0213996529786,79.21920185078079,0.4998794779949555,79.22728896141052,"[79.6481192111969, 79.44479584693909, 78.83365154266357, 78.57896685600281, 79.63091135025024]","[78.64573669433594, 78.35871124267578, 77.76966094970703, 77.61042785644531, 78.60440826416016]","[80.68769836425781, 80.38069152832031, 79.8366928100586, 79.64828491210938, 80.63973236083984]","[0.5055729765444994, 0.5119818728417158, 0.5358339753001928, 0.5236775614321232, 0.5335842724889517]"
a_mor_ca_HISAN,100.0,79.52573742047426,80.19086176980915,79.38114517061885,78.7593984962406,79.90167727009833,80.62463851937535,76.70618854829381,69.01388085598612,79.55176402544825,0.5450955226597927,79.53929424285889,"[79.51357960700989, 80.17769455909729, 79.38435673713684, 78.74820828437805, 79.87263202667236]","[78.55076599121094, 79.17745971679688, 78.4578628540039, 77.68220520019531, 78.90475463867188]","[80.49867248535156, 81.2459716796875, 80.33502197265625, 79.74547576904297, 80.99467468261719]","[0.49709323793649673, 0.5062540527433157, 0.5020016338676214, 0.5186604335904121, 0.5259424448013306]"
a_mor_cb_MTHISAN,100.0,78.41237709658763,79.33776749566223,78.6871023713129,78.62926547137073,79.56911509543089,79.82938114517061,75.80971659919028,68.43551185656449,78.92712550607288,0.4980148358779914,78.91611933708191,"[78.40163111686707, 79.35692071914673, 78.64853739738464, 78.61704230308533, 79.55646514892578]","[77.52381896972656, 78.4666976928711, 77.5425033569336, 77.58452606201172, 78.60152435302734]","[79.42881774902344, 80.35365295410156, 79.67729187011719, 79.62284851074219, 80.41061401367188]","[0.5072496831417084, 0.5069533362984657, 0.5254770629107952, 0.5312060471624136, 0.4838806577026844]"
a_mor_da_BERT,100.0,81.9838056680162,82.07056101792945,82.11393869288605,81.65124349334876,80.48004626951996,82.43204164256795,79.6124927703875,74.13244650086756,81.65991902834008,0.6840756987867334,81.63181185722351,"[81.951504945755, 82.039874792099, 82.09944367408752, 81.6229522228241, 80.44528365135193]","[80.94328308105469, 81.0538558959961, 81.21293640136719, 80.75577545166016, 79.54027557373047]","[82.8877182006836, 83.01046752929688, 82.99627685546875, 82.54207611083984, 81.41648864746094]","[0.48769721761345863, 0.4938326310366392, 0.4854535683989525, 0.49041835591197014, 0.4802545066922903]"
a_mor_db_MTBERT,100.0,80.43666859456333,80.82706766917293,81.50665124349334,81.69462116830537,80.8849045691151,81.86813186813187,78.64372469635627,73.17813765182186,81.06998264893002,0.5184595007910646,81.0537338256836,"[80.43131232261658, 80.80882430076599, 81.48708939552307, 81.6615641117096, 80.87987899780273]","[79.45584106445312, 79.92017364501953, 80.48985290527344, 80.66080474853516, 79.85189056396484]","[81.44513702392578, 81.7458267211914, 82.41043853759766, 82.62796020507812, 81.74909210205078]","[0.5049226805567741, 0.4791934508830309, 0.4815689753741026, 0.5013674031943083, 0.4905261564999819]"
b_his_aa_LOGR,100.0,79.64141122035859,79.43898207056101,79.72816657027182,79.45344129554655,79.62695199537305,79.81492192018507,78.32562174667437,75.18796992481202,79.57779063042221,0.12630114402500053,79.57495093345642,"[79.64637279510498, 79.42861318588257, 79.72233891487122, 79.45082783699036, 79.62660193443298]","[78.73113250732422, 78.47537231445312, 78.71841430664062, 78.47566223144531, 78.67738342285156]","[80.5806884765625, 80.45777893066406, 80.64606475830078, 80.45629119873047, 80.59896850585938]","[0.496302405372262, 0.5156808067113161, 0.49789799377322197, 0.5141313187777996, 0.503464974462986]"
b_his_ba_CNN,100.0,81.8102949681897,82.15731636784268,81.4198958935801,81.49219201850781,81.50665124349334,82.27299016772702,79.5401966454598,74.52284557547716,81.67727009832272,0.30730530722772936,81.66455030441284,"[81.79540634155273, 82.14057683944702, 81.42844438552856, 81.47984147071838, 81.4784824848175]","[80.95579528808594, 81.22843170166016, 80.46273040771484, 80.5376968383789, 80.5301513671875]","[82.73265075683594, 83.0213851928711, 82.31180572509766, 82.33101654052734, 82.43071746826172]","[0.4780177026987076, 0.4864783491939306, 0.48008766025304794, 0.46168630942702293, 0.47566178254783154]"
b_his_bb_MTCNN,100.0,81.69462116830537,82.57663389242337,81.36205899363794,81.92596876807403,82.50433776749566,82.6923076923077,79.41006362058994,74.06015037593986,82.01272411798728,0.522436430455167,82.00070142745972,"[81.66921734809875, 82.56319165229797, 81.34551644325256, 81.92171454429626, 82.50386714935303]","[80.70306396484375, 81.54351806640625, 80.2998046875, 80.88873291015625, 81.54974365234375]","[82.56735229492188, 83.48120880126953, 82.26739501953125, 82.7016830444336, 83.36869049072266]","[0.46822414733469486, 0.4864371381700039, 0.48972382210195065, 0.4569288343191147, 0.4614043515175581]"
b_his_ca_HISAN,100.0,81.99826489300173,82.35974551764026,82.41758241758241,81.78137651821862,82.14285714285714,83.28513591671486,79.52573742047426,72.38288027761712,82.13996529786004,0.2617479181191346,82.12378978729248,"[81.97075128555298, 82.35065340995789, 82.3991060256958, 81.7772626876831, 82.12117552757263]","[81.05968475341797, 81.45318603515625, 81.47881317138672, 80.81941223144531, 81.09184265136719]","[82.81251525878906, 83.23649597167969, 83.3072509765625, 82.6307144165039, 83.02999114990234]","[0.46511958353221416, 0.4598885774612427, 0.4640548024326563, 0.4881459753960371, 0.477054575458169]"
b_his_cb_MTHISAN,100.0,82.4465008675535,83.32851359167148,82.30190861769809,82.15731636784268,83.12608444187391,83.45864661654136,80.14748409485252,74.34933487565067,82.67206477732792,0.5219960456315103,82.65042066574097,"[82.42760300636292, 83.29444527626038, 82.28743076324463, 82.13313221931458, 83.10949206352234]","[81.47421264648438, 82.48452758789062, 81.31735229492188, 81.24433898925781, 82.20551300048828]","[83.33621978759766, 84.23455810546875, 83.24104309082031, 83.05493927001953, 83.95942687988281]","[0.47015310265123844, 0.4536189138889313, 0.4753808956593275, 0.4501200746744871, 0.45257783494889736]"
b_his_da_BERT,100.0,83.58877964141122,83.9358010410642,83.67553499132447,83.92134181607865,84.2539039907461,84.3984962406015,81.88259109311741,77.64603817235395,83.87507229612493,0.2603463663747996,83.8508677482605,"[83.6010217666626, 83.9120090007782, 83.63643288612366, 83.9069664478302, 84.19790863990784]","[82.82621002197266, 83.05289459228516, 82.73307800292969, 83.05496978759766, 83.29572296142578]","[84.40991973876953, 84.78973388671875, 84.48827362060547, 84.68545532226562, 85.08326721191406]","[0.43237851932644844, 0.4480167292058468, 0.4515159409493208, 0.4340029787272215, 0.4323681816458702]"
b_his_db_MTBERT,100.0,83.34297281665702,83.92134181607865,83.87796414112204,84.05147484094853,83.35743204164257,84.10931174089069,81.57894736842105,76.89415847310585,83.71023713128974,0.33484892875141187,83.68629455566406,"[83.33383202552795, 83.89585614204407, 83.8693618774414, 84.01440382003784, 83.31801891326904]","[82.48240661621094, 82.98178100585938, 83.0390853881836, 83.20874786376953, 82.4949722290039]","[84.14173889160156, 84.79000854492188, 84.66956329345703, 84.9129867553711, 84.10359191894531]","[0.4384472034871578, 0.4565941169857979, 0.4219940397888422, 0.4322165157645941, 0.4275888670235872]"
