,true,1,2,3,4,5,min3,min4,min5,fmacro_mean_over_folds,fmacro_std_over_folds,boot_fmac_mean_over_folds,boot_mean_fmacs_of_folds,boot_quantile_lower_fmac_of_folds,boot_quantile_upper_fmac_of_folds,boot_fmac_std_of_folds,n_true_classes_in_folds,n_unique_classes_in_folds
b_his_ba_CNN,100.0,61.49,61.79,60.6,61.66,61.81,62.96,60.65,56.5,61.47,0.5,61.41,"[61.43644452095032, 61.69321537017822, 60.56991219520569, 61.59769296646118, 61.730098724365234]","[59.39207077026367, 60.254390716552734, 58.889686584472656, 59.765602111816406, 59.96157455444336]","[63.32958221435547, 63.48595428466797, 62.20068359375, 63.383609771728516, 63.622093200683594]","[1.0066121816635132, 0.843405444175005, 0.8681723847985268, 0.9557215496897697, 0.970267690718174]",13.0,"[12.0, 11.0, 11.0, 12.0, 12.0]"
b_his_bb_MTCNN,100.0,60.95,64.57,58.58,63.0,62.62,62.69,59.84,55.38,61.94,2.28,61.93,"[60.951948165893555, 64.50812220573425, 58.567363023757935, 62.99276947975159, 62.616175413131714]","[59.19786834716797, 62.640647888183594, 56.932151794433594, 61.25407791137695, 60.9487419128418]","[62.6639289855957, 66.41868591308594, 60.349239349365234, 64.82383728027344, 64.42220306396484]","[0.8923729881644249, 0.9698126465082169, 0.8953097276389599, 0.9633450768887997, 0.8764044381678104]",13.0,"[12.0, 12.0, 11.0, 12.0, 11.0]"
b_his_ca_HISAN,100.0,64.24,63.84,64.2,62.05,63.59,64.48,62.27,56.04,63.58,0.9,63.5,"[64.19444680213928, 63.772064447402954, 64.16058540344238, 61.96238994598389, 63.41903209686279]","[62.306968688964844, 62.085289001464844, 62.350685119628906, 59.894615173339844, 61.335235595703125]","[66.06443786621094, 65.40652465820312, 65.93376159667969, 63.965702056884766, 65.62805938720703]","[0.9698486886918545, 0.9017459116876125, 0.9430249221622944, 0.9957903064787388, 1.130544114857912]",13.0,"[13.0, 12.0, 13.0, 12.0, 13.0]"
b_his_cb_MTHISAN,100.0,65.2,65.2,63.0,64.96,66.11,66.15,63.61,59.74,64.89,1.14,64.83,"[65.1094138622284, 65.15393257141113, 62.924402952194214, 64.90790843963623, 66.0485565662384]","[63.421756744384766, 63.11949920654297, 60.97431182861328, 63.080162048339844, 64.32492065429688]","[67.24464416503906, 67.01364135742188, 64.88256072998047, 66.86588287353516, 67.62753295898438]","[0.9863662533462048, 0.9862732142210007, 0.9994581341743469, 0.9891726076602936, 0.8715242147445679]",13.0,"[12.0, 12.0, 12.0, 12.0, 12.0]"
b_his_da_BERT,100.0,65.76,65.64,64.84,65.36,66.24,66.33,65.9,63.76,65.57,0.52,65.54,"[65.75274467468262, 65.62250256538391, 64.79272246360779, 65.3300940990448, 66.19791388511658]","[64.37669372558594, 64.35083770751953, 63.479061126708984, 63.905311584472656, 64.73695373535156]","[67.1578369140625, 66.87505340576172, 66.26444244384766, 66.705322265625, 67.69164276123047]","[0.7003807928413153, 0.6701340433210135, 0.7046939339488745, 0.7182413246482611, 0.7866766303777695]",13.0,"[11.0, 11.0, 11.0, 11.0, 12.0]"
b_his_db_MTBERT,100.0,64.6,64.23,65.36,65.55,64.56,65.18,64.57,61.79,64.86,0.57,64.79,"[64.4752562046051, 64.19419646263123, 65.25616645812988, 65.50672650337219, 64.53824043273926]","[62.8095703125, 62.19103240966797, 63.78306579589844, 64.01276397705078, 63.033287048339844]","[66.14636993408203, 65.86702728271484, 66.9277572631836, 66.97682189941406, 66.18035888671875]","[0.8631804026663303, 0.9384071454405785, 0.8207931183278561, 0.770336389541626, 0.8072344586253166]",13.0,"[11.0, 12.0, 11.0, 11.0, 11.0]"
c_beh_aa_LOGR,100.0,68.49,67.83,68.06,68.35,68.46,68.74,67.1,65.22,68.24,0.28,68.29,"[68.54835152626038, 67.91560649871826, 68.13046336174011, 68.37470531463623, 68.49488019943237]","[66.76839447021484, 66.1590805053711, 66.39286041259766, 66.48052978515625, 66.73344421386719]","[70.33529663085938, 69.68540954589844, 69.9344253540039, 70.28854370117188, 70.17017364501953]","[0.9260133840143681, 0.941833108663559, 0.9100228548049927, 0.9495885111391544, 0.9035225957632065]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
c_beh_ba_CNN,100.0,73.24,72.29,66.07,66.49,66.07,68.98,65.61,59.95,68.83,3.61,68.92,"[73.29612374305725, 72.36614227294922, 66.1432683467865, 66.58862829208374, 66.19693040847778]","[71.50152587890625, 70.67179870605469, 64.39295196533203, 64.84962463378906, 64.5558090209961]","[74.77529907226562, 73.90074157714844, 68.07622528076172, 68.20136260986328, 67.74708557128906]","[0.8417862467467785, 0.8305258117616177, 0.9254916571080685, 0.8509897626936436, 0.8361827582120895]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
c_beh_bb_MTCNN,100.0,69.6,73.64,72.15,73.06,71.09,72.52,69.94,65.87,71.91,1.61,71.94,"[69.61452960968018, 73.67095947265625, 72.18997478485107, 73.06610941886902, 71.1699366569519]","[67.95121002197266, 72.01630401611328, 70.56660461425781, 71.54943084716797, 69.47480773925781]","[71.26944732666016, 75.33616638183594, 73.646240234375, 74.74634552001953, 72.86503601074219]","[0.865549873560667, 0.8444462902843952, 0.8383157663047314, 0.7988604716956615, 0.8582049049437046]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
c_beh_ca_HISAN,100.0,74.27,73.9,71.14,73.82,74.17,74.98,72.46,67.12,73.46,1.31,73.48,"[74.27952885627747, 73.92079830169678, 71.18102312088013, 73.82739186286926, 74.20452833175659]","[72.47239685058594, 72.45741271972656, 69.44605255126953, 72.49065399169922, 72.59546661376953]","[75.68968200683594, 75.23748016357422, 72.98822021484375, 75.17442321777344, 75.76464080810547]","[0.8439791388809681, 0.7843025028705597, 0.9165449999272823, 0.7051634136587381, 0.7918157614767551]",3.0,"[3.0, 3.0, 3.0, 3.0, 3.0]"
